Cross Ref. No.;Vorgangsschluessel;Priorität;Status;Vorgangsergebnis
0050021473;PM-82303;Mittel;Offen;Neuen GRANIT Artikel anlegen
50307456;PM-82307;Mittel;Geschlossen;Vorhandenen Granitartikel gefunden
1306374;PM-82291;Hoch;Geschlossen;Neuen GRANIT Artikel anlegen
5136%3064;PM-82301;Mittel;Offen;Neuen GRANIT Artikel anlegen
000051700722;PM-83463;Hoch;Geschlossen;Vorhandenen Granitartikel gefunden
2720ä1840;PM-82296;Mittel;Geschlossen;Alternativlieferant bereits hinterlegt
90127781;PM-82272;Sehr hoch;Geschlossen;Keine Bearbeitung
79125011000;PM-82277;Hoch;Offen;Neuen GRANIT Artikel anlegen
51440858;PM-82308;Mittel;Offen;Vorhandenen Granitartikel gefunden
0051062996;PM-82309;Sehr hoch;Geschlossen;GRANIT Artikel auf Alternativlieferant umstellen
